ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Angola,Mean weekly hours usually worked per employed person by sex,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2009,51.0561,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Angola,Mean weekly hours usually worked per employed person by sex,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2009,51.3537,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Angola,Mean weekly hours usually worked per employed person by sex,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2009,50.7415,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2007,44.6479,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2007,46.924,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2007,40.9492,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2008,42.9479,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2008,46.1999,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2008,38.8999,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2009,42.6285,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2009,45.632,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2009,38.6257,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2010,41.5677,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2010,44.4475,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2010,37.6978,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2011,34.2459,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2011,35.9216,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2011,32.121,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2012,40.5412,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2012,42.3199,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2012,38.2893,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2013,41.8423,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2013,44.1887,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2013,39.0185,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
